"uuid","Objectnummer","Geïmporteerd vanuit VH (Project 1)","Export naar VH (Project 2)","Geëxporteerd naar VH (Project 2)","Serienaam VH (Project 2)","Naar krant-en-fotos.nl","thumbnail","t2_serie_name","t3_description","t3_entry_number","t3_log_page_id","t3_vh_entry_number","t3_catalog_card","t4_keyword","t4_correct"
"000f89ee-93ca-3bb0-aee8-4e1f2ce5cfd7","NL-HlmNHA_1478_05201K00_23","1","1","1","random_2","","","Kleinbeeld 1967","Bloemendaal - VOC","{33741}","","","{Cricket}","{c3cd755d-34c8-d31c-072d-02b34142daba,94fefc39-1f7c-45af-2b52-c4daf0ff5f02,c4db0acb-a485-a644-581f-ef8e352c3236,f8c85b25-dcf2-b36d-56ce-c3258c3ec853,efe13355-3612-9157-fe75-85d00b97e208}","{NULL,NULL,NULL,NULL,NULL}"
"001b39c4-371d-49b6-be11-f2ff214b03a5","NL-HlmNHA_1478_21082K00_21","1","1","1","random_2","","","Kleinbeeld 1981","Poeziefestival in Velserbeek","{93060}","","","{""Festival, festiviteiten en manifestaties""}","{9b975476-aa14-6e4d-1d71-e7db3d82285e,169266ec-658f-c05e-7560-27327865a82f,c3cd755d-34c8-d31c-072d-02b34142daba,1047c920-6143-666f-7526-529d662fdfbc,dfda4e8b-b37e-63e8-7cd9-c560d66fe841}","{NULL,NULL,NULL,NULL,NULL}"
"001c9232-1396-79d1-57dd-5dc4330bfe35","NL-HlmNHA_1478_22112K00_04","1","1","1","random_7","","","Kleinbeeld 1982","Plastiek van Agnes Jutten Vleeshal.","{97636}","","","{""Kunst en kunstvoorwerpen""}","{42b2daf6-eaad-a3eb-ab9e-d31c080765c3,020c70ac-8e33-8820-4f8f-e6965b48ee71,086db4c8-b874-7d48-1944-e81f0030d0d6,5059b072-8b5c-827a-9424-d69e55eb1a91,1d6c19c6-343a-1bf7-c7d4-7ac4bcbe511d}","{NULL,NULL,NULL,NULL,NULL}"
"0020d2b2-0bee-b3f1-5b23-1b441d0ff6b2","NL-HlmNHA_1478_18726K00_06","1","1","1","random_9","1","","Kleinbeeld 1979","Portret van hr. Schuitema, Juliana College, Badhoevedorp","{83493,83496}","","","{Portretten,Scholen}","{5da7ddba-7fbc-cf76-a750-d57bc8afc0d0,a2c47bdc-ae1f-8dd4-8e2d-3df8a28a03c6,dc1a1f0b-9c28-29ed-e798-195e5d3f07aa,6ff8044e-49e7-1f15-2a95-fe6aa68b73e8,8baa6a68-94d5-862f-803f-fda90117a4d5}","{NULL,NULL,NULL,NULL,NULL}"
"00217c35-e59d-bb09-4fbd-3329fdb70331","NL-HlmNHA_1478_15919K00_18","1","1","1","random_11","1","","Kleinbeeld 1977","Repetitie Jordaan cabaret","{72920}","","","{Cabaret}","{9b975476-aa14-6e4d-1d71-e7db3d82285e,9e9bc5f1-d892-9c81-a462-f268b6f8816d,1da309e9-56e8-882f-b48d-b88bd69e3fab,dfda4e8b-b37e-63e8-7cd9-c560d66fe841,25fa0c76-63dd-58be-0265-8fcfa54db6e1}","{NULL,NULL,NULL,NULL,NULL}"
"002271f5-fd3a-cc66-5644-447513f69459","NL-HlmNHA_1478_07248K00_08","1","1","1","random_16","","","Kleinbeeld 1969","Protestmars werkende jongeren","{41516}","","","{Demonstatie}","{6687f90e-798d-5a52-6abd-dfd7d9b4bf2a,dfda4e8b-b37e-63e8-7cd9-c560d66fe841,9b975476-aa14-6e4d-1d71-e7db3d82285e,cfbf5531-d0fc-a346-8b1c-4121aca9a784,0261181d-00de-fbd5-7889-882d29340de3}","{NULL,NULL,NULL,NULL,NULL}"
"0027a47f-f0d3-2ede-049b-9562935bc083","NL-HlmNHA_1478_15807K02_09","1","1","1","random_10","1","","Kleinbeeld 1977","Nederland .. Italie dagwedstrijd, Nederland - Italie avond.","{72504}","","","{Honkbal}","{97a2afcc-7548-3055-09d9-adfbe7044cd1,57c77c9c-655f-ac10-9b42-d2640f84ed62,25fa0c76-63dd-58be-0265-8fcfa54db6e1,94fefc39-1f7c-45af-2b52-c4daf0ff5f02,12ab16d1-2d0d-1e11-7cae-22a29ab9ce71}","{NULL,NULL,NULL,NULL,NULL}"
"002f163a-ff27-6a85-5a8f-cc46de8e209a","NL-HlmNHA_1478_00585K00_32","1","1","1","random_8","","","Kleinbeeld 1963","R.C.H. - Feyenoord","{24081}","","","{Voetbal}","{a2c04c1b-b694-0bd1-00c3-9cf454601322,6534e494-1fcd-1784-ba9f-2fd66f3b0e32,66d3272b-dc63-c875-b7a1-a15f38b87df4,19dd0c73-e0c7-50d8-4a0b-32b470ecf44a,c4db0acb-a485-a644-581f-ef8e352c3236}","{NULL,NULL,NULL,NULL,NULL}"
"0039f80f-ce89-bf49-a056-aea039d0dc54","NL-HlmNHA_1478_13516K00_32","1","1","1","random_2","1","","Kleinbeeld 1974","Kerstviering, Concertgebouw, Haarlem","{60077}","","","{""Kerstmis en kerstbomen""}","{b020c660-15d6-f348-e506-e5ef93f721b0,0748aced-128a-a382-b7bc-62c853c16119,4bf7374b-084e-6d72-b196-d4e418254682,dfda4e8b-b37e-63e8-7cd9-c560d66fe841,87757ebc-289d-32e3-6749-cfc41f17ca64}","{NULL,NULL,NULL,NULL,NULL}"
"003b7411-a7b1-d769-e043-d5d8939bfd4a","NL-HlmNHA_1478_22003K01_26","1","1","1","random_20","","","Kleinbeeld 1982","Amsterdam, gids op rondvaartboot","{97224}","","","{""Rondvaart, rondritten, rondvluchten""}","{dfda4e8b-b37e-63e8-7cd9-c560d66fe841,57c77c9c-655f-ac10-9b42-d2640f84ed62,5059b072-8b5c-827a-9424-d69e55eb1a91,1f83148f-2618-e653-12bf-7395f3496f23,d454f996-fd20-a1c2-16a8-3a0d7acd47b7}","{NULL,NULL,NULL,NULL,NULL}"
"00434e7e-2b70-32e8-0abd-97e1cfb21065","NL-HlmNHA_1478_25344K00_29","1","1","1","random_5","","","Kleinbeeld 1985","Italie - Nederland","{114689}","","","{Softbal}","{94fefc39-1f7c-45af-2b52-c4daf0ff5f02,f8c85b25-dcf2-b36d-56ce-c3258c3ec853,c4db0acb-a485-a644-581f-ef8e352c3236,66d3272b-dc63-c875-b7a1-a15f38b87df4,6534e494-1fcd-1784-ba9f-2fd66f3b0e32}","{NULL,NULL,NULL,NULL,NULL}"
