id,gebruiker_id,scan_id,toelichting,status,aangemaakt_op,bewerkt_op
1,5397,1233,presentator Peter Knegjens met snor,104,2021-11-04 12:21:21,2021-11-29 11:39:51
2,5397,1235,Anton Geesink,104,2021-11-04 12:23:07,2021-11-29 11:39:51
3,5397,1226,schilderij van koningin Juliana,104,2021-11-04 12:24:17,2021-11-29 11:39:51
4,12564,1255,Volgens mij is het een amateur Viswedstrijd,104,2021-11-04 14:35:49,2021-11-29 11:39:51
5,12564,1266,scateborden,104,2021-11-04 14:40:13,2021-11-29 11:39:51
6,12564,1269,slaapkamer,104,2021-11-04 14:41:41,2021-11-29 11:39:51
7,12564,1273,Protesten?,104,2021-11-04 14:43:30,2021-11-29 11:39:51
8,12564,1278,emplacement/spoorrails,104,2021-11-04 14:45:41,2021-11-29 11:39:51
9,12564,1280,kassencomplex,104,2021-11-04 14:46:44,2021-11-29 11:39:51
10,12564,1286,Marineschip,104,2021-11-04 14:48:55,2021-11-29 11:39:51
11,5397,1705,Robert Long,104,2021-11-05 10:08:00,2021-11-29 11:39:51
12,12564,1906,opening van een school,104,2021-11-05 15:30:18,2021-11-29 11:39:51
13,12564,2011,Padvinderij met koningin Juliana,104,2021-11-05 15:34:18,2021-11-29 11:39:51
14,5397,2040,Jan Hein Donner,104,2021-11-05 15:52:55,2021-11-29 11:39:51
15,5397,2049,prins Claus,104,2021-11-05 15:55:41,2021-11-29 11:39:51
16,13589,2057,een plaatje met humor (bordje speelplaats op straat bij een gevangenis),104,2021-11-05 16:00:03,2021-11-29 11:39:51
17,5397,2271,Barry Hulshoff,104,2021-11-05 21:22:19,2021-11-29 11:39:51
18,5397,2297,Bassie en Adriaan,104,2021-11-05 21:31:56,2021-11-29 11:39:51
19,12564,2450,verliefd paartje,104,2021-11-06 14:01:17,2021-11-29 11:39:51
20,12564,2431,wielrennen,104,2021-11-06 14:03:40,2021-11-29 11:39:51
21,12564,2457,wandelen,104,2021-11-06 14:05:43,2021-11-29 11:39:51
22,12827,2653,Categorie School of schoolplein zou ik hier willen invullen.,104,2021-11-06 21:25:19,2021-11-29 11:39:51
23,12827,2683,Woonwagenkamp,104,2021-11-06 21:28:12,2021-11-29 11:39:51
24,12827,2671,Atletiek,104,2021-11-06 21:35:33,2021-11-29 11:39:51
25,5397,2738,Martin Schröder,104,2021-11-07 10:20:27,2021-11-29 11:39:51
26,5397,2704,Rob de Nijs,104,2021-11-07 10:46:50,2021-11-29 11:39:51
