"serie_id","categories","tags"
"81","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"82","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"83","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"84","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"85","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"86","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"87","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"88","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"89","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"90","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"91","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"92","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"93","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"94","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"95","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"96","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"97","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"98","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"99","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"100","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
"101","Binnen/Buiten","Bepaal of een foto binnen of buiten is genomen"
