,predictions,top_1,top_5,title,image_id,scan_id,too_difficult,unusable,annotated_on,annotator_id,annotated_label,checked_on,validator_id,corrected_label,toelichting,gebruiker_id,agreement,in_top_1,in_top_5
2172,"{'mensenmassa': 0.03, 'muziek_optreden': 0.03, 'uitreiking_huldiging': 0.14, 'speech': 0.21, 'vergaderruimte': 0.31}",vergaderruimte,"['mensenmassa', 'muziek_optreden', 'uitreiking_huldiging', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_17241B11a_01,48446,18454,0,0,2022-04-07 19:25:17,13212,uitreiking_huldiging,2022-05-02 16:05:26,13945,no_description_found,ontvangst Kon. Juliana in fabriek,21510.0,disagree,0,0
2548,"{'bouwplaats': 0.09, 'groepsportret': 0.13, 'fabriek': 0.16, 'brand': 0.16, 'portret': 0.17}",portret,"['bouwplaats', 'groepsportret', 'fabriek', 'brand', 'portret']",NL-HlmNHA_1478_10659B00_01,48364,18372,0,0,2022-04-07 18:54:12,13212,no_description_found,2022-05-01 22:41:22,18244,no_description_found,onderstel trein,21510.0,agree,0,0
3018,"{'muziek_optreden': 0.06, 'markt': 0.08, 'uitreiking_huldiging': 0.14, 'tentoonstelling': 0.14, 'circus': 0.2}",circus,"['muziek_optreden', 'markt', 'uitreiking_huldiging', 'tentoonstelling', 'circus']",NL-HlmNHA_1478_12922B00_01,52024,22032,0,0,2022-04-13 17:22:35,13212,tentoonstelling,2022-05-06 20:22:12,21510,no_description_found,Opbouwen beurs,21510.0,disagree,0,0
3036,"{'maquette': 0.04, 'etalage': 0.07, 'kunstwerk': 0.22, 'borden_gevelsteen': 0.22, 'tentoonstelling': 0.23}",tentoonstelling,"['maquette', 'etalage', 'kunstwerk', 'borden_gevelsteen', 'tentoonstelling']",NL-HlmNHA_1478_12994B00_01,52028,22036,0,0,2022-04-13 17:25:07,13212,tentoonstelling,2022-05-06 20:25:07,21510,no_description_found,"attributen fiets, spatlap, spiegeltjes en standaards",21510.0,agree,0,0
3098,"{'straat': 0.01, 'tentoonstelling': 0.01, 'auto': 0.05, 'auto_ongeluk': 0.4, 'kunstwerk': 0.47000000000000003}",kunstwerk,"['straat', 'tentoonstelling', 'auto', 'auto_ongeluk', 'kunstwerk']",NL-HlmNHA_1478_12968B00_01,52027,22035,2,0,2022-04-14 13:58:09,19243,no_description_found,2022-05-06 20:24:05,21510,no_description_found,Collectie fietsjasbeschermers,9686.0,agree,0,0
3222,"{'bruiloft': 0.02, 'tentoonstelling': 0.03, 'portret': 0.05, 'ontvangst_afscheid': 0.07, 'uitreiking_huldiging': 0.74}",uitreiking_huldiging,"['bruiloft', 'tentoonstelling', 'portret', 'ontvangst_afscheid', 'uitreiking_huldiging']",NL-HlmNHA_1478_08409B00_01,51951,21959,0,0,2022-04-13 14:43:33,23849,uitreiking_huldiging,2022-05-06 18:17:07,13945,no_description_found,Koningin Juliana,16679.0,disagree,0,0
3484,"{'bos_park': 0.03, 'bibliotheek_boekwinkel': 0.04, 'kunstwerk': 0.07, 'herdenking': 0.09, 'borden_gevelsteen': 0.63}",borden_gevelsteen,"['bos_park', 'bibliotheek_boekwinkel', 'kunstwerk', 'herdenking', 'borden_gevelsteen']",NL-HlmNHA_1478_16111B03_01,52087,22095,1,1,2022-04-14 11:33:10,21351,no_description_found,2022-05-06 22:18:19,17916,no_description_found,Kentekenbewijs (kopie),9686.0,agree,0,0
3522,"{'circus': 0.03, 'basketbal_korfbal': 0.05, 'muziek_optreden': 0.05, 'speech': 0.08, 'gymnastiek': 0.5700000000000001}",gymnastiek,"['circus', 'basketbal_korfbal', 'muziek_optreden', 'speech', 'gymnastiek']",NL-HlmNHA_1478_11195B00_01,51990,21998,0,0,2022-04-13 16:32:18,13212,gymnastiek,2022-05-06 19:32:47,21510,no_description_found,Turner aan de ringen,9686.0,agree,0,0
3530,"{'speech': 0.01, 'begrafenis': 0.02, 'mensenmassa': 0.05, 'amfitheater': 0.13, 'muziek_optreden': 0.75}",muziek_optreden,"['speech', 'begrafenis', 'mensenmassa', 'amfitheater', 'muziek_optreden']",NL-HlmNHA_1478_11990B00_01,52005,22013,0,0,2022-04-13 17:15:33,13212,amfitheater,2022-05-06 19:55:22,21510,no_description_found,Toneelstuk in het openlucht theater te Bloemendaal,21510.0,agree,0,0
3678,"{'kerk_binnen': 0.05, 'borden_gevelsteen': 0.06, 'gebouw': 0.1, 'portret': 0.21, 'kunstwerk': 0.27}",kunstwerk,"['kerk_binnen', 'borden_gevelsteen', 'gebouw', 'portret', 'kunstwerk']",NL-HlmNHA_1478_12944B00_01,52026,22034,2,0,2022-04-13 20:55:03,18244,no_description_found,2022-05-06 20:23:30,21510,no_description_found,Mat,21510.0,agree,0,0
3708,"{'woonkamer': 0.01, 'muziek_optreden': 0.01, 'fabriek': 0.05, 'gebouw': 0.07, 'kerk_binnen': 0.74}",kerk_binnen,"['woonkamer', 'muziek_optreden', 'fabriek', 'gebouw', 'kerk_binnen']",NL-HlmNHA_1478_11012B01_01,51987,21995,0,0,2022-04-13 16:31:26,13212,kerk_binnen,2022-05-06 19:30:03,21510,no_description_found,Kerkorgel,21510.0,agree,0,0
3840,"{'brand': 0.01, 'strand': 0.02, 'sneeuwlandschap': 0.07, 'kunstwerk': 0.37, 'bos_park': 0.38}",bos_park,"['brand', 'strand', 'sneeuwlandschap', 'kunstwerk', 'bos_park']",NL-HlmNHA_1478_06592B00_01,55602,25610,0,0,2022-04-19 11:25:15,23849,kade,2022-05-13 16:36:29,21510,no_description_found,radarwagen aan de kust,21510.0,disagree,0,0
3854,"{'speech': 0.09, 'etende_mensen': 0.1, 'schaken_dammen': 0.11, 'vergaderruimte': 0.12, 'muziek_optreden': 0.36}",muziek_optreden,"['speech', 'etende_mensen', 'schaken_dammen', 'vergaderruimte', 'muziek_optreden']",NL-HlmNHA_1478_09384B00_01,55650,25658,0,0,2022-04-19 11:39:04,23849,uitreiking_huldiging,2022-05-13 17:19:33,21510,no_description_found,Feest 25 jaar bestaan HPL.,21510.0,agree,0,0
3886,"{'circus': 0.06, 'speech': 0.06, 'schaken_dammen': 0.07, 'sinterklaas': 0.12, 'fabriek': 0.24}",fabriek,"['circus', 'speech', 'schaken_dammen', 'sinterklaas', 'fabriek']",NL-HlmNHA_1478_03233B00_01,55581,25589,0,0,2022-04-19 11:17:22,23849,kerk_binnen,2022-05-13 16:24:26,21510,no_description_found,Kerkklok,9686.0,agree,0,0
3898,"{'sinterklaas': 0.05, 'windmolen': 0.06, 'haven': 0.09, 'bouwplaats': 0.11, 'fabriek': 0.21}",fabriek,"['sinterklaas', 'windmolen', 'haven', 'bouwplaats', 'fabriek']",NL-HlmNHA_1478_08380B00_01,55634,25642,0,0,2022-04-19 11:33:40,23849,bus_truck,2022-05-13 17:09:18,21510,no_description_found,Verplaatsen van een oude brandweerspuit bij het stadhuis te Haarlem,21510.0,disagree,0,0
3932,"{'bouwplaats': 0.0, 'strand': 0.01, 'hond': 0.01, 'brand': 0.15, 'duinen': 0.8200000000000001}",duinen,"['bouwplaats', 'strand', 'hond', 'brand', 'duinen']",NL-HlmNHA_1478_04722B00_01,55594,25602,0,0,2022-04-19 11:22:26,23849,duinen,2022-05-13 16:28:13,21510,no_description_found,afschieten illegaalvuurwerk,21510.0,disagree,0,0
4091,"{'maquette': 0.01, 'bos_park': 0.05, 'bouwplaats': 0.13, 'buiten_zwembad': 0.16, 'speeltuin': 0.52}",speeltuin,"['maquette', 'bos_park', 'bouwplaats', 'buiten_zwembad', 'speeltuin']",NL-HlmNHA_1478_07203B05_01,55612,25620,0,0,2022-04-19 11:28:55,23849,maquette,2022-05-13 16:44:43,21510,no_description_found,inplanten perk met bloemen bij van Tubbergen aan de leidsevaart,21510.0,disagree,0,0
4133,"{'klaslokaal': 0.04, 'portret': 0.06, 'tentoonstelling': 0.09, 'schaken_dammen': 0.09, 'winkel_binnen': 0.35000000000000003}",winkel_binnen,"['klaslokaal', 'portret', 'tentoonstelling', 'schaken_dammen', 'winkel_binnen']",NL-HlmNHA_1478_09095B00_01,55647,25655,0,0,2022-04-19 11:37:30,23849,klaslokaal,2022-05-13 17:15:30,21510,no_description_found,Sigarenbandjes verzamelaar,21510.0,disagree,0,0
4169,"{'fabriek': 0.06, 'keuken': 0.07, 'ziekenhuis': 0.13, 'woonkamer': 0.17, 'kantoor': 0.36}",kantoor,"['fabriek', 'keuken', 'ziekenhuis', 'woonkamer', 'kantoor']",NL-HlmNHA_1478_02308B00_01,55568,25576,0,0,2022-04-19 10:10:09,23849,kantoor,2022-05-13 16:10:40,21510,no_description_found,Dokterskamer,21510.0,disagree,0,0
4248,"{'bibliotheek_boekwinkel': 0.04, 'brand': 0.05, 'etalage': 0.19, 'auto_ongeluk': 0.2, 'kunstwerk': 0.2}",kunstwerk,"['bibliotheek_boekwinkel', 'brand', 'etalage', 'auto_ongeluk', 'kunstwerk']",NL-HlmNHA_1478_06767B01_01,55604,25612,0,0,2022-04-19 11:26:13,23849,etalage,2022-05-13 16:38:09,21510,no_description_found,Kerst kado,21510.0,disagree,0,0
4370,"{'kerstmis': 0.05, 'mensenmassa': 0.05, 'portret': 0.06, 'cafe': 0.1, 'gebouw': 0.25}",gebouw,"['kerstmis', 'mensenmassa', 'portret', 'cafe', 'gebouw']",NL-HlmNHA_1478_06953B00_01,55609,25617,0,0,2022-04-19 11:27:50,23849,gebouw,2022-05-13 16:40:16,21510,no_description_found,kamer in oud gebouw,21510.0,disagree,0,0
4430,"{'speech': 0.02, 'sinterklaas': 0.02, 'mensenmassa': 0.06, 'muziek_optreden': 0.24, 'uitreiking_huldiging': 0.53}",uitreiking_huldiging,"['speech', 'sinterklaas', 'mensenmassa', 'muziek_optreden', 'uitreiking_huldiging']",NL-HlmNHA_1478_12459B08_01,55695,25703,0,0,2022-04-19 12:22:43,23849,uitreiking_huldiging,2022-05-16 12:54:33,21510,no_description_found,Defilé voor hoogwaardigheidsbekleders,21510.0,disagree,0,0
4438,"{'muziek_optreden': 0.01, 'groepsportret': 0.01, 'optocht': 0.02, 'demonstratie': 0.02, 'mensenmassa': 0.91}",mensenmassa,"['muziek_optreden', 'groepsportret', 'optocht', 'demonstratie', 'mensenmassa']",NL-HlmNHA_1478_08925B00_01,55640,25648,0,0,2022-04-19 11:35:43,23849,mensenmassa,2022-05-13 17:13:30,21510,no_description_found,Herdenking Izaak Enschede bij het bedrijf Drukkerij Enschede te Haarlem aan het Klokhuisplein,21510.0,disagree,0,0
4446,"{'bibliotheek_boekwinkel': 0.02, 'cafe': 0.03, 'etalage': 0.07, 'tentoonstelling': 0.12, 'winkel_binnen': 0.7000000000000001}",winkel_binnen,"['bibliotheek_boekwinkel', 'cafe', 'etalage', 'tentoonstelling', 'winkel_binnen']",NL-HlmNHA_1478_03214B00_01,55580,25588,0,0,2022-04-19 11:16:42,23849,winkel_binnen,2022-05-13 16:23:35,21510,no_description_found,Mecola IJssalon op Bedrijvenbeurs.,9686.0,agree,0,0
4476,"{'klaslokaal': 0.04, 'kapper': 0.04, 'kantoor': 0.13, 'woonkamer': 0.14, 'ziekenhuis': 0.5700000000000001}",ziekenhuis,"['klaslokaal', 'kapper', 'kantoor', 'woonkamer', 'ziekenhuis']",NL-HlmNHA_1478_02273B00_01,55566,25574,0,0,2022-04-19 10:09:42,23849,kapper,2022-05-13 16:08:11,21510,no_description_found,schoonheidssalon,21510.0,disagree,0,0
4572,"{'bus_truck': 0.05, 'ontvangst_afscheid': 0.05, 'hond': 0.06, 'groepsportret': 0.07, 'uitreiking_huldiging': 0.1}",uitreiking_huldiging,"['bus_truck', 'ontvangst_afscheid', 'hond', 'groepsportret', 'uitreiking_huldiging']",NL-HlmNHA_1478_02848B00_01,55573,25581,0,0,2022-04-19 10:26:13,21735,groepsportret,2022-05-13 16:13:17,21510,no_description_found,oefenen hoe te handelen bij trein ongeluk.,21510.0,disagree,0,0
