uuid,register_number,log_number,card_number,subcollectie,serie_name,preference,description,entry_number,catalog_card,catalog_card_scan,location,person,date,code,log_page_id,object_number,file_uuid,file_name,dam_path
24d2d184-5d24-f057-b6de-1cfc31809cb1,NL-HlmNHA_1478_06775K00,NL-HlmNHA_1478_06775K,00,K,"Kleinbeeld 1969",1969,"Mevr. Eisselsteijn voor Blokshofje",39718,Personen,NHA012000016_P_0187,"Haarlem, Klein Heiligland",,10-01-1969,NL-HlmNHA_1478_06775K,,NL-HlmNHA_1478_06775K00_06,5f0f2fd1-52eb-6140-a274-8ca17500c1de,NL-HlmNHA_1478_06775K00_06,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_06775K00/"
58f4ce21-10fc-7a20-9b2b-244fecb7daa2,NL-HlmNHA_1478_21447K01,NL-HlmNHA_1478_21447K,01,K,"Kleinbeeld 1981",1981,"KIOS - Vlug en Vaardig",94864,Korfbal,NHA012000011_K_0349,,,19-12-1981,NL-HlmNHA_1478_21447K,,NL-HlmNHA_1478_21447K01_33,ac9d9c13-cf8c-2b60-3b7a-961c1a50836c,NL-HlmNHA_1478_21447K01_33,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_21447K01/"
fb63a970-38ed-ccbb-64bc-75fb56fc8190,NL-HlmNHA_1478_16102K02,NL-HlmNHA_1478_16102K,02,K,"Kleinbeeld 1977",1977,"Persconferentie onderwijs, H'lem",73696,Onderwijs,NHA012000015_O_0054,,,27-10-1977,NL-HlmNHA_1478_16102K,,NL-HlmNHA_1478_16102K02_02,f43f98d2-e97d-13f3-200e-5fe471ac5ab0,NL-HlmNHA_1478_16102K02_02,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_16102K02/"
4b86551e-2992-23ff-3d5c-a5b24e24c022,NL-HlmNHA_1478_16525K00,NL-HlmNHA_1478_16525K,00,K,"Kleinbeeld 1978",1978,"Bijeenkomst C.D.A.",75403,"Politiek, personen politiek",NHA012000016_P_0594,,,11-03-1978,NL-HlmNHA_1478_16525K,,NL-HlmNHA_1478_16525K00_25,5ab1cc6c-b0c4-7f7e-c4d0-95d06f20b566,NL-HlmNHA_1478_16525K00_25,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_16525K00/"
8b088b04-f051-4856-174f-b2287db28362,NL-HlmNHA_1478_16525K00,NL-HlmNHA_1478_16525K,00,K,"Kleinbeeld 1978",1978,"Schoolverlaters manifestatie",75404,Scholieren,NHA012000018_S_0634,,,11-03-1978,NL-HlmNHA_1478_16525K,,NL-HlmNHA_1478_16525K00_15,12ffe69e-1181-f58a-e5f7-50a2e85a33a7,NL-HlmNHA_1478_16525K00_15,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_16525K00/"
f4695347-4f71-9662-2c63-9a64019d0728,NL-HlmNHA_1478_15965K01,NL-HlmNHA_1478_15965K,01,K,"Kleinbeeld 1977",1977,"Jubilarissen voetbalver. VVB",73110|73111,"Jubileum, jubilea|Voetbal VVB",NHA012000010_J_0055|NHA012000021_V_0896,,,15-09-1977,NL-HlmNHA_1478_15965K,,NL-HlmNHA_1478_15965K01_16,3c82a07e-293c-118b-0f30-4c08330fb24d,NL-HlmNHA_1478_15965K01_16,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15965K01/"
6ecdae88-fcba-b501-4adf-740df7060c98,NL-HlmNHA_1478_08560K00,NL-HlmNHA_1478_08560K,00,K,"Kleinbeeld 1970",1970,"Oud en nieuwbouw Oud IJmuiden",45967|45968,"Bouwen, bouwputten|Huizen en huizenbouw",NHA012000002_B_0628|NHA012000008_H_0556,,,19-08-1970,NL-HlmNHA_1478_08560K,,NL-HlmNHA_1478_08560K00_22,9c63b174-4bb1-809e-c34c-d15bba369cb3,NL-HlmNHA_1478_08560K00_22,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_08560K00/"
432bf14a-4b30-1bc8-e0bd-974caad9399f,NL-HlmNHA_1478_28672K01,NL-HlmNHA_1478_28672K,01,K,"Kleinbeeld 1988",1988,"Telstar - Excelsior",130891,"Voetbal Telstar",NHA012000021_V_0835,,,06-02-1988,NL-HlmNHA_1478_28672K,,NL-HlmNHA_1478_28672K01_24,1d76092f-d062-afcd-35d0-55b17adb2b93,NL-HlmNHA_1478_28672K01_24,"/VeleHanden Fotopersbureau De Boer/Batch_06/NL-HlmNHA_1478_28672K01/"
f8a4f581-b410-a2bd-2aba-b016ac9f7199,NL-HlmNHA_1478_25822K00,NL-HlmNHA_1478_25822K,00,K,"Kleinbeeld 1985",1985,"Zeewegziekenhuis nieuwe aula en a-leerlingen",116901,Ziekenhuizen,NHA012000024_Z_0102,"IJmuiden, Zeeweg",,17-12-1985,NL-HlmNHA_1478_25822K,,NL-HlmNHA_1478_25822K00_26,d0d426da-dc5d-2a7c-b106-27062a5fe99a,NL-HlmNHA_1478_25822K00_26,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_25822K00/"
c2d2ddd8-43b1-84ce-1468-4f7733ee5b7f,NL-HlmNHA_1478_24926K00,NL-HlmNHA_1478_24926K,00,K,"Kleinbeeld 1985",1985,"VEW - ODIN",112264,Voetbal,NHA012000021_V_0472,,,02-03-1985,NL-HlmNHA_1478_24926K,,NL-HlmNHA_1478_24926K00_24,03bf6173-de61-2cc2-4506-cbd8334aa236,NL-HlmNHA_1478_24926K00_24,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24926K00/"
