,predictions,top_1,top_5,title,image_id,scan_id,too_difficult,unusable,annotated_on,annotator_id,annotated_label,checked_on,validator_id,corrected_label,toelichting,gebruiker_id
8,"{'militair': 0.05, 'straat': 0.1, 'fabriek': 0.1, 'boten': 0.13, 'auto_ongeluk': 0.43}",auto_ongeluk,"['militair', 'straat', 'fabriek', 'boten', 'auto_ongeluk']",NL-HlmNHA_1478_15016B00_01,71174,41182,0,0,2022-07-06 11:58:01,24028,no_description_found,2022-07-06 20:48:47,21510,no_description_found,Lorrie,21510.0
9,"{'militair': 0.05, 'straat': 0.1, 'fabriek': 0.1, 'boten': 0.13, 'auto_ongeluk': 0.43}",auto_ongeluk,"['militair', 'straat', 'fabriek', 'boten', 'auto_ongeluk']",NL-HlmNHA_1478_15016B00_01,71174,41182,0,0,2022-07-06 11:58:37,21351,no_description_found,2022-07-06 20:48:47,21510,no_description_found,Lorrie,21510.0
16,"{'tentoonstelling': 0.02, 'bakkerij': 0.02, 'brand': 0.06, 'keuken': 0.1, 'fabriek': 0.72}",fabriek,"['tentoonstelling', 'bakkerij', 'brand', 'keuken', 'fabriek']",NL-HlmNHA_1478_20774B01_01,71367,41375,0,0,2022-07-06 13:38:30,22659,fabriek,2022-07-07 16:26:14,9600,no_description_found,,
17,"{'tentoonstelling': 0.02, 'bakkerij': 0.02, 'brand': 0.06, 'keuken': 0.1, 'fabriek': 0.72}",fabriek,"['tentoonstelling', 'bakkerij', 'brand', 'keuken', 'fabriek']",NL-HlmNHA_1478_20774B01_01,71367,41375,0,0,2022-07-06 13:49:38,21423,binnen,2022-07-07 16:26:14,9600,no_description_found,,
64,"{'garage_showroom': 0.02, 'sinterklaas': 0.06, 'markt': 0.13, 'tentoonstelling': 0.29, 'bibliotheek_boekwinkel': 0.42}",bibliotheek_boekwinkel,"['garage_showroom', 'sinterklaas', 'markt', 'tentoonstelling', 'bibliotheek_boekwinkel']",NL-HlmNHA_1478_11520B00_01,71098,41106,0,0,2022-07-06 11:45:07,24028,tentoonstelling,2022-07-06 19:47:35,21510,no_description_found,Een tand op de huishoudbeurs te Haarlem,21510.0
65,"{'garage_showroom': 0.02, 'sinterklaas': 0.06, 'markt': 0.13, 'tentoonstelling': 0.29, 'bibliotheek_boekwinkel': 0.42}",bibliotheek_boekwinkel,"['garage_showroom', 'sinterklaas', 'markt', 'tentoonstelling', 'bibliotheek_boekwinkel']",NL-HlmNHA_1478_11520B00_01,71098,41106,0,0,2022-07-06 11:49:58,21351,no_description_found,2022-07-06 19:47:35,21510,no_description_found,Een tand op de huishoudbeurs te Haarlem,21510.0
76,"{'standbeeld': 0.04, 'brand': 0.05, 'sinterklaas': 0.07, 'tentoonstelling': 0.11, 'kunstwerk': 0.13}",kunstwerk,"['standbeeld', 'brand', 'sinterklaas', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_11245B04_01,71091,41099,1,0,2022-07-06 11:43:54,24028,ontvangst_afscheid,2022-07-06 19:40:36,21510,no_description_found,Prins Bernhard en koningin Juliana in de Goudenkoets,21510.0
77,"{'standbeeld': 0.04, 'brand': 0.05, 'sinterklaas': 0.07, 'tentoonstelling': 0.11, 'kunstwerk': 0.13}",kunstwerk,"['standbeeld', 'brand', 'sinterklaas', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_11245B04_01,71091,41099,1,0,2022-07-06 11:53:22,21502,no_description_found,2022-07-06 19:40:36,21510,no_description_found,Prins Bernhard en koningin Juliana in de Goudenkoets,21510.0
106,"{'kunstwerk': 0.04, 'bus_truck': 0.07, 'auto_ongeluk': 0.1, 'muziek_optreden': 0.18, 'sport_overig': 0.26}",sport_overig,"['kunstwerk', 'bus_truck', 'auto_ongeluk', 'muziek_optreden', 'sport_overig']",NL-HlmNHA_1478_21005B00_01,71373,41381,0,0,2022-07-06 13:41:49,22659,kunstwerk,2022-07-07 16:27:41,9600,no_description_found,,
107,"{'kunstwerk': 0.04, 'bus_truck': 0.07, 'auto_ongeluk': 0.1, 'muziek_optreden': 0.18, 'sport_overig': 0.26}",sport_overig,"['kunstwerk', 'bus_truck', 'auto_ongeluk', 'muziek_optreden', 'sport_overig']",NL-HlmNHA_1478_21005B00_01,71373,41381,0,0,2022-07-06 13:54:08,21423,no_description_found,2022-07-07 16:27:41,9600,no_description_found,,
208,"{'kunstwerk': 0.04, 'wielrennen': 0.05, 'ziekenhuis': 0.05, 'portret': 0.19, 'auto': 0.28}",auto,"['kunstwerk', 'wielrennen', 'ziekenhuis', 'portret', 'auto']",NL-HlmNHA_1478_20654B01_01,71364,41372,0,0,2022-07-06 13:37:29,22659,auto,2022-07-07 16:25:27,9600,no_description_found,,
209,"{'kunstwerk': 0.04, 'wielrennen': 0.05, 'ziekenhuis': 0.05, 'portret': 0.19, 'auto': 0.28}",auto,"['kunstwerk', 'wielrennen', 'ziekenhuis', 'portret', 'auto']",NL-HlmNHA_1478_20654B01_01,71364,41372,0,0,2022-07-06 13:41:07,21423,no_description_found,2022-07-07 16:25:27,9600,no_description_found,,
280,"{'portret': 0.05, 'groepsportret': 0.05, 'brand': 0.05, 'speech': 0.13, 'uitreiking_huldiging': 0.46}",uitreiking_huldiging,"['portret', 'groepsportret', 'brand', 'speech', 'uitreiking_huldiging']",NL-HlmNHA_1478_00103B00_01,70891,40899,0,0,2022-07-06 10:30:36,21685,no_description_found,2022-07-06 10:51:28,3474,no_description_found,Koningin Juliana,3474.0
281,"{'portret': 0.05, 'groepsportret': 0.05, 'brand': 0.05, 'speech': 0.13, 'uitreiking_huldiging': 0.46}",uitreiking_huldiging,"['portret', 'groepsportret', 'brand', 'speech', 'uitreiking_huldiging']",NL-HlmNHA_1478_00103B00_01,70891,40899,0,0,2022-07-06 10:33:53,18611,no_description_found,2022-07-06 10:51:28,3474,no_description_found,Koningin Juliana,3474.0
290,"{'akker': 0.02, 'duinen': 0.06, 'boten': 0.08, 'bouwplaats': 0.16, 'strand': 0.62}",strand,"['akker', 'duinen', 'boten', 'bouwplaats', 'strand']",NL-HlmNHA_1478_19183B02_01,71333,41341,0,0,2022-07-06 13:00:34,13945,vijver_plas,2022-07-07 16:18:29,9600,no_description_found,,
291,"{'akker': 0.02, 'duinen': 0.06, 'boten': 0.08, 'bouwplaats': 0.16, 'strand': 0.62}",strand,"['akker', 'duinen', 'boten', 'bouwplaats', 'strand']",NL-HlmNHA_1478_19183B02_01,71333,41341,0,0,2022-07-06 13:17:34,22659,strand,2022-07-07 16:18:29,9600,no_description_found,,
354,"{'speeltuin': 0.05, 'strand': 0.06, 'sport_overig': 0.06, 'sneeuwlandschap': 0.06, 'kunstwerk': 0.38}",kunstwerk,"['speeltuin', 'strand', 'sport_overig', 'sneeuwlandschap', 'kunstwerk']",NL-HlmNHA_1478_13863B00_01,71149,41157,1,0,2022-07-06 11:56:24,21351,no_description_found,2022-07-06 20:26:02,21510,no_description_found,Bagagedrager voor fiets,21510.0
355,"{'speeltuin': 0.05, 'strand': 0.06, 'sport_overig': 0.06, 'sneeuwlandschap': 0.06, 'kunstwerk': 0.38}",kunstwerk,"['speeltuin', 'strand', 'sport_overig', 'sneeuwlandschap', 'kunstwerk']",NL-HlmNHA_1478_13863B00_01,71149,41157,1,0,2022-07-06 11:56:24,21351,no_description_found,2022-07-06 20:26:02,21510,no_description_found,Bagagedrager voor een fiets,21510.0
356,"{'speeltuin': 0.05, 'strand': 0.06, 'sport_overig': 0.06, 'sneeuwlandschap': 0.06, 'kunstwerk': 0.38}",kunstwerk,"['speeltuin', 'strand', 'sport_overig', 'sneeuwlandschap', 'kunstwerk']",NL-HlmNHA_1478_13863B00_01,71149,41157,1,0,2022-07-06 12:03:44,22659,no_description_found,2022-07-06 20:26:02,21510,no_description_found,Bagagedrager voor fiets,21510.0
357,"{'speeltuin': 0.05, 'strand': 0.06, 'sport_overig': 0.06, 'sneeuwlandschap': 0.06, 'kunstwerk': 0.38}",kunstwerk,"['speeltuin', 'strand', 'sport_overig', 'sneeuwlandschap', 'kunstwerk']",NL-HlmNHA_1478_13863B00_01,71149,41157,1,0,2022-07-06 12:03:44,22659,no_description_found,2022-07-06 20:26:02,21510,no_description_found,Bagagedrager voor een fiets,21510.0
480,"{'ziekenhuis': 0.02, 'sinterklaas': 0.03, 'strand': 0.1, 'kunstwerk': 0.2, 'portret': 0.26}",portret,"['ziekenhuis', 'sinterklaas', 'strand', 'kunstwerk', 'portret']",NL-HlmNHA_1478_19676B00_01,71346,41354,0,0,2022-07-06 13:04:41,13945,no_description_found,2022-07-07 16:23:02,9600,no_description_found,,
481,"{'ziekenhuis': 0.02, 'sinterklaas': 0.03, 'strand': 0.1, 'kunstwerk': 0.2, 'portret': 0.26}",portret,"['ziekenhuis', 'sinterklaas', 'strand', 'kunstwerk', 'portret']",NL-HlmNHA_1478_19676B00_01,71346,41354,0,0,2022-07-06 13:13:49,22659,no_description_found,2022-07-07 16:23:02,9600,no_description_found,,
486,"{'windmolen': 0.03, 'bibliotheek_boekwinkel': 0.08, 'speech': 0.09, 'tentoonstelling': 0.18, 'markt': 0.44}",markt,"['windmolen', 'bibliotheek_boekwinkel', 'speech', 'tentoonstelling', 'markt']",NL-HlmNHA_1478_13851B01_01,71147,41155,0,0,2022-07-06 11:54:09,24028,tentoonstelling,2022-07-06 20:24:13,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
487,"{'windmolen': 0.03, 'bibliotheek_boekwinkel': 0.08, 'speech': 0.09, 'tentoonstelling': 0.18, 'markt': 0.44}",markt,"['windmolen', 'bibliotheek_boekwinkel', 'speech', 'tentoonstelling', 'markt']",NL-HlmNHA_1478_13851B01_01,71147,41155,0,0,2022-07-06 12:00:14,21502,tentoonstelling,2022-07-06 20:24:13,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
534,"{'militair': 0.05, 'mensenmassa': 0.11, 'speech': 0.17, 'muziek_optreden': 0.22, 'geestelijken': 0.26}",geestelijken,"['militair', 'mensenmassa', 'speech', 'muziek_optreden', 'geestelijken']",NL-HlmNHA_1478_11266B00_01,71094,41102,1,0,2022-07-06 11:44:32,24028,uitreiking_huldiging,2022-07-06 19:44:24,21510,no_description_found,Koningin JUliana ondertekent stukken in de Ridderzaal te Den Haag,21510.0
535,"{'militair': 0.05, 'mensenmassa': 0.11, 'speech': 0.17, 'muziek_optreden': 0.22, 'geestelijken': 0.26}",geestelijken,"['militair', 'mensenmassa', 'speech', 'muziek_optreden', 'geestelijken']",NL-HlmNHA_1478_11266B00_01,71094,41102,1,0,2022-07-06 11:59:43,21502,no_description_found,2022-07-06 19:44:24,21510,no_description_found,Koningin JUliana ondertekent stukken in de Ridderzaal te Den Haag,21510.0
577,"{'speech': 0.04, 'fabriek': 0.05, 'tentoonstelling': 0.11, 'markt': 0.22, 'winkel_binnen': 0.30000000000000004}",winkel_binnen,"['speech', 'fabriek', 'tentoonstelling', 'markt', 'winkel_binnen']",NL-HlmNHA_1478_12914B00_01,71129,41137,0,0,2022-07-06 11:50:41,24028,winkel_binnen,2022-07-06 20:17:43,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
578,"{'speech': 0.04, 'fabriek': 0.05, 'tentoonstelling': 0.11, 'markt': 0.22, 'winkel_binnen': 0.30000000000000004}",winkel_binnen,"['speech', 'fabriek', 'tentoonstelling', 'markt', 'winkel_binnen']",NL-HlmNHA_1478_12914B00_01,71129,41137,0,0,2022-07-06 11:52:11,21351,no_description_found,2022-07-06 20:17:43,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
585,"{'dansende_mensen': 0.04, 'ziekenhuis': 0.06, 'fabriek': 0.15, 'mensenmassa': 0.15, 'tentoonstelling': 0.19}",tentoonstelling,"['dansende_mensen', 'ziekenhuis', 'fabriek', 'mensenmassa', 'tentoonstelling']",NL-HlmNHA_1478_11120B02_01,71089,41097,0,0,2022-07-06 11:42:41,24028,no_description_found,2022-07-06 19:37:09,21510,no_description_found,foto is gespiegeld,21351.0
586,"{'dansende_mensen': 0.04, 'ziekenhuis': 0.06, 'fabriek': 0.15, 'mensenmassa': 0.15, 'tentoonstelling': 0.19}",tentoonstelling,"['dansende_mensen', 'ziekenhuis', 'fabriek', 'mensenmassa', 'tentoonstelling']",NL-HlmNHA_1478_11120B02_01,71089,41097,0,0,2022-07-06 11:42:41,24028,no_description_found,2022-07-06 19:37:09,21510,no_description_found,Nieuw bankkantoor,21510.0
587,"{'dansende_mensen': 0.04, 'ziekenhuis': 0.06, 'fabriek': 0.15, 'mensenmassa': 0.15, 'tentoonstelling': 0.19}",tentoonstelling,"['dansende_mensen', 'ziekenhuis', 'fabriek', 'mensenmassa', 'tentoonstelling']",NL-HlmNHA_1478_11120B02_01,71089,41097,0,0,2022-07-06 11:53:57,21351,no_description_found,2022-07-06 19:37:09,21510,no_description_found,foto is gespiegeld,21351.0
588,"{'dansende_mensen': 0.04, 'ziekenhuis': 0.06, 'fabriek': 0.15, 'mensenmassa': 0.15, 'tentoonstelling': 0.19}",tentoonstelling,"['dansende_mensen', 'ziekenhuis', 'fabriek', 'mensenmassa', 'tentoonstelling']",NL-HlmNHA_1478_11120B02_01,71089,41097,0,0,2022-07-06 11:53:57,21351,no_description_found,2022-07-06 19:37:09,21510,no_description_found,Nieuw bankkantoor,21510.0
643,"{'portret': 0.05, 'kunstwerk': 0.05, 'tentoonstelling': 0.05, 'bus_truck': 0.07, 'keuken': 0.45}",keuken,"['portret', 'kunstwerk', 'tentoonstelling', 'bus_truck', 'keuken']",NL-HlmNHA_1478_18190B02_01,71289,41297,0,0,2022-07-06 12:34:45,13216,no_description_found,2022-07-07 16:09:39,9600,no_description_found,,
644,"{'portret': 0.05, 'kunstwerk': 0.05, 'tentoonstelling': 0.05, 'bus_truck': 0.07, 'keuken': 0.45}",keuken,"['portret', 'kunstwerk', 'tentoonstelling', 'bus_truck', 'keuken']",NL-HlmNHA_1478_18190B02_01,71289,41297,0,0,2022-07-06 12:35:46,22659,woonkamer,2022-07-07 16:09:39,9600,no_description_found,,
659,"{'theater': 0.05, 'klaslokaal': 0.1, 'kapper': 0.14, 'speech': 0.17, 'catwalk': 0.18}",catwalk,"['theater', 'klaslokaal', 'kapper', 'speech', 'catwalk']",NL-HlmNHA_1478_11579B00_01,71101,41109,0,0,2022-07-06 11:45:34,24028,catwalk,2022-07-06 19:50:25,21510,no_description_found,Filmopname in Club Extase in Amsterdam,21510.0
660,"{'theater': 0.05, 'klaslokaal': 0.1, 'kapper': 0.14, 'speech': 0.17, 'catwalk': 0.18}",catwalk,"['theater', 'klaslokaal', 'kapper', 'speech', 'catwalk']",NL-HlmNHA_1478_11579B00_01,71101,41109,0,0,2022-07-06 11:49:30,21502,catwalk,2022-07-06 19:50:25,21510,no_description_found,Filmopname in Club Extase in Amsterdam,21510.0
677,"{'theater': 0.06, 'speech': 0.06, 'tentoonstelling': 0.06, 'muziek_optreden': 0.07, 'markt': 0.48}",markt,"['theater', 'speech', 'tentoonstelling', 'muziek_optreden', 'markt']",NL-HlmNHA_1478_13854B00_01,71148,41156,0,0,2022-07-06 11:54:15,24028,tentoonstelling,2022-07-06 20:25:08,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
678,"{'theater': 0.06, 'speech': 0.06, 'tentoonstelling': 0.06, 'muziek_optreden': 0.07, 'markt': 0.48}",markt,"['theater', 'speech', 'tentoonstelling', 'muziek_optreden', 'markt']",NL-HlmNHA_1478_13854B00_01,71148,41156,0,0,2022-07-06 11:54:15,24028,tentoonstelling,2022-07-06 20:25:08,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
679,"{'theater': 0.06, 'speech': 0.06, 'tentoonstelling': 0.06, 'muziek_optreden': 0.07, 'markt': 0.48}",markt,"['theater', 'speech', 'tentoonstelling', 'muziek_optreden', 'markt']",NL-HlmNHA_1478_13854B00_01,71148,41156,0,0,2022-07-06 11:58:45,21351,no_description_found,2022-07-06 20:25:08,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
680,"{'theater': 0.06, 'speech': 0.06, 'tentoonstelling': 0.06, 'muziek_optreden': 0.07, 'markt': 0.48}",markt,"['theater', 'speech', 'tentoonstelling', 'muziek_optreden', 'markt']",NL-HlmNHA_1478_13854B00_01,71148,41156,0,0,2022-07-06 11:58:45,21351,no_description_found,2022-07-06 20:25:08,21510,no_description_found,Stand huishoudbeurs te Haarlem,21510.0
687,"{'bibliotheek_boekwinkel': 0.08, 'bakkerij': 0.13, 'tentoonstelling': 0.15, 'borden_gevelsteen': 0.18, 'groepsportret': 0.18}",groepsportret,"['bibliotheek_boekwinkel', 'bakkerij', 'tentoonstelling', 'borden_gevelsteen', 'groepsportret']",NL-HlmNHA_1478_01602B00_01,70913,40921,0,0,2022-07-06 10:37:20,15911,tentoonstelling,2022-07-06 11:30:30,3474,no_description_found,,
688,"{'bibliotheek_boekwinkel': 0.08, 'bakkerij': 0.13, 'tentoonstelling': 0.15, 'borden_gevelsteen': 0.18, 'groepsportret': 0.18}",groepsportret,"['bibliotheek_boekwinkel', 'bakkerij', 'tentoonstelling', 'borden_gevelsteen', 'groepsportret']",NL-HlmNHA_1478_01602B00_01,70913,40921,0,0,2022-07-06 10:37:43,21685,no_description_found,2022-07-06 11:30:30,3474,no_description_found,,
777,"{'waterweg': 0.06, 'kunstwerk': 0.09, 'bos_park': 0.12, 'akker': 0.13, 'vijver_plas': 0.34}",vijver_plas,"['waterweg', 'kunstwerk', 'bos_park', 'akker', 'vijver_plas']",NL-HlmNHA_1478_08980B00_01,71038,41046,0,0,2022-07-06 11:27:10,24028,waterweg,2022-07-06 17:53:39,9600,no_description_found,,
778,"{'waterweg': 0.06, 'kunstwerk': 0.09, 'bos_park': 0.12, 'akker': 0.13, 'vijver_plas': 0.34}",vijver_plas,"['waterweg', 'kunstwerk', 'bos_park', 'akker', 'vijver_plas']",NL-HlmNHA_1478_08980B00_01,71038,41046,0,0,2022-07-06 11:27:44,18611,vijver_plas,2022-07-06 17:53:39,9600,no_description_found,,
907,"{'keuken': 0.04, 'portret': 0.04, 'woonkamer': 0.06, 'slagerij': 0.1, 'fabriek': 0.21}",fabriek,"['keuken', 'portret', 'woonkamer', 'slagerij', 'fabriek']",NL-HlmNHA_1478_18036B01_01,71279,41287,1,0,2022-07-06 12:27:29,13216,no_description_found,2022-07-07 16:07:56,9600,no_description_found,,
908,"{'keuken': 0.04, 'portret': 0.04, 'woonkamer': 0.06, 'slagerij': 0.1, 'fabriek': 0.21}",fabriek,"['keuken', 'portret', 'woonkamer', 'slagerij', 'fabriek']",NL-HlmNHA_1478_18036B01_01,71279,41287,1,0,2022-07-06 12:28:25,22659,keuken,2022-07-07 16:07:56,9600,no_description_found,,
953,"{'muziek_optreden': 0.11, 'vergaderruimte': 0.12, 'speech': 0.14, 'terras': 0.17, 'uitreiking_huldiging': 0.22}",uitreiking_huldiging,"['muziek_optreden', 'vergaderruimte', 'speech', 'terras', 'uitreiking_huldiging']",NL-HlmNHA_1478_11256B00_01,71093,41101,0,0,2022-07-06 11:44:21,24028,uitreiking_huldiging,2022-07-06 19:43:31,21510,no_description_found,Ondertekenen van stukken in de Ridderzaal te Den haag,21510.0
