,precision,recall,f1-score,support
akker,0.6666666666666666,0.5555555555555556,0.606060606060606,18.0
amfitheater,0.6666666666666666,1.0,0.8,2.0
aula,0.5454545454545454,0.3157894736842105,0.39999999999999997,19.0
auto,0.5294117647058824,0.42857142857142855,0.4736842105263158,21.0
auto_ongeluk,0.5652173913043478,0.6190476190476191,0.5909090909090909,21.0
bakkerij,0.0,0.0,0.0,2.0
basketbal_korfbal,0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0
begraafplaats,1.0,0.3333333333333333,0.5,3.0
begrafenis,0.6666666666666666,0.5,0.5714285714285715,4.0
bibliotheek_boekwinkel,0.7,0.5,0.5833333333333334,14.0
binnen_zwembad,0.9230769230769231,0.75,0.8275862068965517,16.0
bloemen,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
bloementuin,0.5555555555555556,0.625,0.5882352941176471,8.0
borden_gevelsteen,0.4722222222222222,0.7083333333333334,0.5666666666666667,24.0
bos_park,0.5294117647058824,0.6666666666666666,0.5901639344262295,27.0
boten,0.6615384615384615,0.5972222222222222,0.6277372262773723,72.0
bouwplaats,0.6305732484076433,0.6923076923076923,0.66,143.0
brand,0.75,0.6470588235294118,0.6947368421052633,51.0
brug,0.45454545454545453,0.5,0.47619047619047616,20.0
bruiloft,0.8666666666666667,0.7647058823529411,0.8125,17.0
buiten_zwembad,0.6153846153846154,0.8,0.6956521739130435,10.0
bus_truck,0.5555555555555556,0.4838709677419355,0.5172413793103449,31.0
cafe,0.35714285714285715,0.43478260869565216,0.39215686274509803,23.0
catwalk,1.0,0.625,0.7692307692307693,8.0
circus,0.75,0.8,0.7741935483870969,15.0
cricket,1.0,0.9285714285714286,0.962962962962963,14.0
dansende_mensen,0.7333333333333333,0.4782608695652174,0.5789473684210527,23.0
demonstratie,0.631578947368421,0.42857142857142855,0.5106382978723404,28.0
dieren_overig,0.35714285714285715,0.38461538461538464,0.3703703703703704,13.0
duinen,0.5,0.3333333333333333,0.4,9.0
eend,0.6666666666666666,0.2857142857142857,0.4,7.0
etalage,0.6,0.5,0.5454545454545454,18.0
etende_mensen,0.6086956521739131,0.7,0.6511627906976744,40.0
fabriek,0.5194805194805194,0.5797101449275363,0.5479452054794519,69.0
fietsende_mensen,0.37142857142857144,0.7222222222222222,0.490566037735849,18.0
garage_showroom,0.75,1.0,0.8571428571428571,3.0
gebouw,0.7738095238095238,0.8552631578947368,0.8125,152.0
geestelijken,0.38461538461538464,0.3333333333333333,0.3571428571428571,15.0
golf,0.0,0.0,0.0,2.0
groepsportret,0.6742424242424242,0.7063492063492064,0.689922480620155,126.0
gymnastiek,0.39285714285714285,0.5789473684210527,0.46808510638297873,19.0
handbal,0.75,0.6,0.6666666666666665,10.0
hardlopen,0.75,0.6923076923076923,0.7199999999999999,13.0
haven,0.3333333333333333,0.5357142857142857,0.41095890410958896,28.0
herdenking,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0
historisch_toneelstuk,0.4444444444444444,0.3333333333333333,0.380952380952381,12.0
hockey,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
hond,0.6666666666666666,0.9411764705882353,0.7804878048780487,17.0
honkbal,0.864406779661017,0.864406779661017,0.864406779661017,59.0
huisje,0.3076923076923077,0.36363636363636365,0.33333333333333337,11.0
kade,0.6666666666666666,0.25,0.36363636363636365,16.0
kamperen,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
kantoor,0.6136363636363636,0.6136363636363636,0.6136363636363636,44.0
kapper,0.6666666666666666,0.4,0.5,5.0
kat,0.0,0.0,0.0,3.0
kerk_binnen,0.625,0.75,0.6818181818181818,20.0
kerk_buiten,0.7647058823529411,0.6190476190476191,0.6842105263157895,21.0
kerstmis,0.0,0.0,0.0,4.0
keuken,0.5555555555555556,0.5,0.5263157894736842,10.0
klaslokaal,0.4888888888888889,0.6285714285714286,0.5499999999999999,35.0
koe,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
konijn,1.0,0.25,0.4,4.0
kunstwerk,0.5952380952380952,0.5319148936170213,0.5617977528089887,47.0
luchtfoto,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
maquette,0.625,0.5555555555555556,0.5882352941176471,9.0
markt,0.4888888888888889,0.5789473684210527,0.5301204819277109,38.0
mensen_op_een_boot,0.32,0.4,0.35555555555555557,20.0
mensen_op_trap,0.75,0.5,0.6,6.0
mensenmassa,0.38636363636363635,0.5666666666666667,0.4594594594594595,60.0
militair,0.5833333333333334,0.4666666666666667,0.5185185185185186,15.0
motorfiets,0.42857142857142855,0.3333333333333333,0.375,9.0
