,precision,recall,f1-score,support
akker,0.5,0.45,0.4736842105263158,20.0
amfitheater,0.5,1.0,0.6666666666666666,3.0
aula,0.25,0.09523809523809523,0.13793103448275862,21.0
auto,0.6666666666666666,0.3333333333333333,0.4444444444444444,24.0
auto_ongeluk,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0
bakkerij,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
basketbal_korfbal,1.0,0.25,0.4,8.0
begraafplaats,1.0,0.5,0.6666666666666666,2.0
begrafenis,0.5,0.09090909090909091,0.15384615384615385,11.0
bibliotheek_boekwinkel,0.17857142857142858,0.625,0.2777777777777778,8.0
binnen_zwembad,0.5,0.4666666666666667,0.4827586206896552,15.0
bloemen,0.75,0.42857142857142855,0.5454545454545454,7.0
bloementuin,1.0,0.125,0.2222222222222222,8.0
borden_gevelsteen,0.5428571428571428,0.5757575757575758,0.5588235294117646,33.0
bos_park,0.2857142857142857,0.4166666666666667,0.3389830508474576,24.0
boten,0.6590909090909091,0.7945205479452054,0.7204968944099379,73.0
bouwplaats,0.4868421052631579,0.6981132075471698,0.5736434108527132,159.0
brand,0.5,0.7254901960784313,0.592,51.0
brug,0.23076923076923078,0.21428571428571427,0.22222222222222224,14.0
bruiloft,0.0,0.0,0.0,10.0
buiten_zwembad,0.625,0.2777777777777778,0.3846153846153846,18.0
bus_truck,0.6363636363636364,0.45161290322580644,0.5283018867924528,31.0
cafe,0.24390243902439024,0.4166666666666667,0.30769230769230765,24.0
catwalk,1.0,0.3,0.4615384615384615,10.0
circus,0.8461538461538461,0.55,0.6666666666666667,20.0
cricket,0.7391304347826086,1.0,0.85,17.0
dansende_mensen,0.35714285714285715,0.4166666666666667,0.3846153846153846,24.0
demonstratie,0.7857142857142857,0.4074074074074074,0.5365853658536585,27.0
dieren_overig,0.32142857142857145,0.25,0.28125000000000006,36.0
duinen,0.42857142857142855,0.3333333333333333,0.375,18.0
eend,0.0,0.0,0.0,3.0
etalage,0.4444444444444444,0.4444444444444444,0.4444444444444444,18.0
etende_mensen,0.5675675675675675,0.6176470588235294,0.5915492957746479,34.0
fabriek,0.45714285714285713,0.6153846153846154,0.5245901639344263,52.0
fietsende_mensen,0.40476190476190477,0.5666666666666667,0.4722222222222222,30.0
garage_showroom,0.8,0.4,0.5333333333333333,10.0
gebouw,0.646551724137931,0.4807692307692308,0.551470588235294,156.0
geestelijken,0.0,0.0,0.0,23.0
golf,0.0,0.0,0.0,4.0
groepsportret,0.43670886075949367,0.5433070866141733,0.4842105263157895,127.0
gymnastiek,0.4166666666666667,0.29411764705882354,0.3448275862068966,34.0
handbal,0.3333333333333333,0.14285714285714285,0.2,7.0
hardlopen,0.25,0.18181818181818182,0.2105263157894737,11.0
haven,0.4423076923076923,0.6764705882352942,0.5348837209302325,34.0
herdenking,0.5,0.05263157894736842,0.09523809523809525,19.0
historisch_toneelstuk,0.2,0.16666666666666666,0.1818181818181818,12.0
hockey,0.5384615384615384,0.4375,0.4827586206896552,16.0
hond,0.7272727272727273,0.8,0.761904761904762,20.0
honkbal,0.9166666666666666,0.38596491228070173,0.5432098765432098,57.0
huisje,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0
kade,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
kamperen,0.3333333333333333,0.14285714285714285,0.2,7.0
kantoor,1.0,0.18421052631578946,0.3111111111111111,38.0
kapper,0.5,0.2,0.28571428571428575,5.0
kat,0.0,0.0,0.0,5.0
kerk_binnen,0.6666666666666666,0.48,0.5581395348837209,25.0
kerk_buiten,0.3333333333333333,0.42105263157894735,0.372093023255814,19.0
kerstmis,0.0,0.0,0.0,3.0
keuken,0.6153846153846154,0.47058823529411764,0.5333333333333333,17.0
klaslokaal,0.35294117647058826,0.6428571428571429,0.4556962025316456,28.0
koe,1.0,0.14285714285714285,0.25,7.0
konijn,0.0,0.0,0.0,4.0
kunstwerk,0.4861111111111111,0.6481481481481481,0.5555555555555555,54.0
luchtfoto,0.8,0.8,0.8000000000000002,10.0
maquette,0.0,0.0,0.0,6.0
markt,0.3448275862068966,0.3333333333333333,0.33898305084745767,30.0
mensen_op_een_boot,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
mensen_op_trap,1.0,0.2222222222222222,0.3636363636363636,9.0
mensenmassa,0.47619047619047616,0.3225806451612903,0.3846153846153846,62.0
militair,0.5,0.3,0.37499999999999994,10.0
motorfiets,0.5,0.1,0.16666666666666669,10.0
muziek_optreden,0.47126436781609193,0.45555555555555555,0.4632768361581921,90.0
ongeluk_brancard,0.0,0.0,0.0,2.0
ontvangst_afscheid,0.0,0.0,0.0,12.0
opgraving,0.5555555555555556,0.45454545454545453,0.5,11.0
optocht,0.45714285714285713,0.3902439024390244,0.42105263157894735,41.0
paard,0.2857142857142857,0.8421052631578947,0.4266666666666667,19.0
plattegrond,1.0,0.25,0.4,4.0
portret,0.7231270358306189,0.6706948640483383,0.6959247648902821,331.0
race,0.25,0.14285714285714285,0.18181818181818182,7.0
roeien,0.25,0.125,0.16666666666666666,8.0
schaatsen,0.25,0.625,0.35714285714285715,8.0
schaken_dammen,0.5862068965517241,0.6538461538461539,0.6181818181818182,26.0
scheepswerf,0.6,0.2,0.3,15.0
sinterklaas,0.7567567567567568,0.5490196078431373,0.6363636363636364,51.0
slagerij,0.46153846153846156,0.75,0.5714285714285714,8.0
sneeuwlandschap,0.5,0.47619047619047616,0.4878048780487805,21.0
speech,0.3225806451612903,0.20833333333333334,0.25316455696202533,48.0
speeltuin,0.3333333333333333,0.1111111111111111,0.16666666666666666,18.0
sport_overig,0.14285714285714285,0.0967741935483871,0.11538461538461538,31.0
standbeeld,0.25,0.5357142857142857,0.3409090909090909,28.0
straat,0.4489795918367347,0.43564356435643564,0.4422110552763819,101.0
strand,0.47619047619047616,0.5263157894736842,0.5,38.0
tafel_tennis,1.0,0.25,0.4,4.0
tentoonstelling,0.42,0.42,0.41999999999999993,50.0
terras,0.3888888888888889,0.6363636363636364,0.4827586206896552,11.0
theater,0.14925373134328357,0.3448275862068966,0.20833333333333331,29.0
toren,0.6363636363636364,0.4666666666666667,0.5384615384615385,15.0
tram,0.2857142857142857,1.0,0.4444444444444445,2.0
trein,1.0,0.4,0.5714285714285715,5.0
trein_ongeluk,0.8,0.8,0.8000000000000002,10.0
trein_station,0.0,0.0,0.0,4.0
uitreiking_huldiging,0.5625,0.75,0.6428571428571429,180.0
vechtsport,1.0,0.5,0.6666666666666666,4.0
vergaderruimte,0.3875,0.6326530612244898,0.48062015503875977,49.0
vijver_plas,0.3,0.3333333333333333,0.3157894736842105,9.0
visserij,0.3333333333333333,0.10526315789473684,0.16,19.0
vlag_hijsen,0.0,0.0,0.0,3.0
vliegtuig,0.0,0.0,0.0,1.0
voetbal,0.8727272727272727,0.8622754491017964,0.8674698795180722,167.0
voetbal_team,0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0
vogels,0.0,0.0,0.0,12.0
volleybal,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
waterweg,0.4444444444444444,0.42105263157894735,0.43243243243243246,19.0
wielrennen,0.4,0.125,0.19047619047619047,16.0
windmolen,0.875,0.6363636363636364,0.7368421052631579,11.0
winkel_binnen,0.5588235294117647,0.3877551020408163,0.4578313253012048,49.0
winkelstraat,0.42857142857142855,0.13636363636363635,0.20689655172413793,22.0
woonkamer,0.3191489361702128,0.5769230769230769,0.4109589041095891,26.0
woonwijk,0.25,0.5945945945945946,0.352,37.0
