corrected_label,step1,step2,state,diff
akker,0.914,0.907,no change,0.007000000000000006
amfitheater,0.75,0.538,decrease,0.21199999999999997
aula,0.842,0.797,no change,0.04499999999999993
auto,0.672,0.873,increase,-0.20099999999999996
auto_ongeluk,0.781,0.933,increase,-0.15200000000000002
bakkerij,0.667,0.588,decrease,0.07900000000000007
basketbal_korfbal,0.389,0.857,increase,-0.46799999999999997
begraafplaats,0.667,0.68,no change,-0.013000000000000012
begrafenis,0.5,0.6,increase,-0.09999999999999998
bibliotheek_boekwinkel,0.618,0.825,increase,-0.20699999999999996
biljart,,0.0,no change,
binnen_zwembad,0.923,0.891,no change,0.03200000000000003
bloemen,0.608,0.648,no change,-0.040000000000000036
bloementuin,0.647,0.873,increase,-0.22599999999999998
boksen,0.889,0.0,decrease,0.889
borden_gevelsteen,0.774,0.887,increase,-0.11299999999999999
bordspel,,0.0,no change,
bos_park,0.911,0.911,no change,0.0
boten,0.897,0.895,no change,0.0020000000000000018
bouwplaats,0.932,0.938,no change,-0.005999999999999894
brand,0.812,0.929,increase,-0.11699999999999999
brug,0.8,0.8,no change,0.0
bruiloft,0.714,0.849,increase,-0.135
buiten_zwembad,0.786,0.865,increase,-0.07899999999999996
bus_truck,0.741,0.887,increase,-0.14600000000000002
cafe,0.714,0.777,increase,-0.06300000000000006
carnaval,,0.0,no change,
casino,,0.0,no change,
catwalk,0.417,0.659,increase,-0.24200000000000005
circus,0.667,0.733,increase,-0.06599999999999995
cricket,1.0,0.938,decrease,0.062000000000000055
dansende_mensen,0.83,0.743,decrease,0.08699999999999997
demonstratie,0.656,0.692,no change,-0.03599999999999992
dieren_overig,0.68,0.708,no change,-0.027999999999999914
duinen,0.906,0.881,no change,0.025000000000000022
eend,0.778,0.714,decrease,0.06400000000000006
etalage,0.789,0.919,increase,-0.13
etende_mensen,0.797,0.866,increase,-0.06899999999999995
fabriek,0.807,0.887,increase,-0.07999999999999996
fietsende_mensen,0.907,0.896,no change,0.01100000000000001
garage_showroom,0.5,0.641,increase,-0.14100000000000001
gebouw,0.888,0.976,increase,-0.08799999999999997
geestelijken,0.8,0.892,increase,-0.09199999999999997
golf,,0.476,no change,
groepsportret,0.843,0.94,increase,-0.09699999999999998
gymnastiek,0.826,0.907,increase,-0.08100000000000007
handbal,1.0,0.935,decrease,0.06499999999999995
hardlopen,0.897,0.809,decrease,0.08799999999999997
haven,0.889,0.928,no change,-0.039000000000000035
helikopter,,0.0,no change,
herdenking,0.333,0.698,increase,-0.36499999999999994
historisch_toneelstuk,0.733,0.595,decrease,0.138
hockey,0.729,0.875,increase,-0.14600000000000002
hond,0.838,0.922,increase,-0.08400000000000007
honkbal,0.931,0.913,no change,0.018000000000000016
huisje,0.941,0.913,no change,0.027999999999999914
kaartspel,0.75,0.0,decrease,0.75
kade,0.55,0.627,increase,-0.07699999999999996
kamperen,0.933,0.828,decrease,0.1050000000000001
kantoor,0.875,0.898,no change,-0.02300000000000002
kapper,0.545,0.826,increase,-0.2809999999999999
kat,,0.667,no change,
kerk_binnen,0.879,0.709,decrease,0.17000000000000004
kerk_buiten,0.812,0.844,no change,-0.03199999999999992
kermis,0.286,0.0,decrease,0.286
kerstmis,0.765,0.373,decrease,0.392
keuken,0.967,0.841,decrease,0.126
klaslokaal,0.931,0.887,no change,0.04400000000000004
koe,0.529,0.905,increase,-0.376
konijn,0.333,0.583,increase,-0.24999999999999994
kunstwerk,0.866,0.84,no change,0.026000000000000023
luchtfoto,0.833,0.93,increase,-0.09700000000000009
maquette,0.8,0.739,decrease,0.061000000000000054
markt,0.927,0.833,decrease,0.09400000000000008
mensen_op_een_boot,0.917,0.821,decrease,0.09600000000000009
mensen_op_trap,0.333,0.364,no change,-0.030999999999999972
mensenmassa,0.888,0.93,no change,-0.04200000000000004
militair,0.692,0.733,no change,-0.041000000000000036
motorfiets,1.0,0.97,no change,0.030000000000000027
muziek_optreden,0.89,0.92,no change,-0.030000000000000027
ongeluk_brancard,0.571,0.467,decrease,0.10399999999999993
ontvangst_afscheid,0.014,0.563,increase,-0.5489999999999999
opgraving,0.867,0.714,decrease,0.15300000000000002
optocht,0.706,0.855,increase,-0.14900000000000002
paard,0.963,0.976,no change,-0.013000000000000012
plattegrond,0.474,0.793,increase,-0.31900000000000006
portret,0.883,0.982,increase,-0.09899999999999998
race,0.707,0.82,increase,-0.11299999999999999
roeien,0.667,0.957,increase,-0.2899999999999999
rugby,0.857,0.0,decrease,0.857
schaatsen,0.781,0.792,no change,-0.01100000000000001
schaken_dammen,0.931,0.86,decrease,0.07100000000000006
scheepswerf,0.8,0.833,no change,-0.03299999999999992
sinterklaas,0.879,0.775,decrease,0.10399999999999998
slagerij,0.75,0.562,decrease,0.18799999999999994
sneeuwlandschap,0.974,0.946,no change,0.028000000000000025
speech,0.71,0.905,increase,-0.19500000000000006
speeltuin,0.69,0.692,no change,-0.0020000000000000018
spoorweg,,0.0,no change,
sport_overig,,0.255,no change,
standbeeld,0.719,0.846,increase,-0.127
stemlokaal,,0.0,no change,
straat,0.909,0.945,no change,-0.03599999999999992
strand,0.955,0.925,no change,0.029999999999999916
tafel_tennis,0.833,0.75,decrease,0.08299999999999996
tennis,0.889,0.0,decrease,0.889
tentoonstelling,0.714,0.886,increase,-0.17200000000000004
terras,0.75,0.82,increase,-0.06999999999999995
theater,0.798,0.798,no change,0.0
toren,0.857,0.857,no change,0.0
tram,0.5,0.25,decrease,0.25
trein,0.938,0.522,decrease,0.4159999999999999
trein_ongeluk,0.5,0.429,decrease,0.07100000000000001
trein_station,0.455,0.658,increase,-0.203
uitreiking_huldiging,0.857,0.962,increase,-0.10499999999999998
vechtsport,,0.737,no change,
vergaderruimte,0.882,0.952,increase,-0.06999999999999995
vijver_plas,0.696,0.879,increase,-0.18300000000000005
visserij,0.527,0.672,increase,-0.14500000000000002
vlag_hijsen,0.071,0.464,increase,-0.393
vliegtuig,,0.442,no change,
voetbal,0.951,0.981,no change,-0.030000000000000027
voetbal_team,0.978,0.984,no change,-0.006000000000000005
vogels,,0.656,no change,
volleybal,0.84,0.907,increase,-0.06700000000000006
vuilnisbelt,,0.0,no change,
waterpolo,1.0,0.0,decrease,1.0
waterweg,0.923,0.898,no change,0.025000000000000022
wielrennen,0.72,0.828,increase,-0.10799999999999998
windmolen,0.833,0.714,decrease,0.119
windsurfen,0.889,0.0,decrease,0.889
winkel_binnen,0.824,0.913,increase,-0.08900000000000008
winkelstraat,0.75,0.814,increase,-0.06399999999999995
woonkamer,0.962,0.833,decrease,0.129
woonwijk,0.91,0.975,increase,-0.06499999999999995
zaalvoetbal,0.905,0.913,no change,-0.008000000000000007
zeepkistenrace,0.286,0.75,increase,-0.464
ziekenhuis,0.778,0.765,no change,0.013000000000000012
zwaan,0.8,0.308,decrease,0.49200000000000005
